"Iteration","Stock","Date","Pred.Close","Pred.Change","Close","Change","Price.MAPE"
"aapl_iteration_12","aapl",2019-01-17,155.293564743816,"inc",155.860001,"inc",0.00363426313711112
"aapl_iteration_12","aapl",2019-01-18,155.367679501403,"inc",156.820007,"inc",0.00926111104303594
"aapl_iteration_12","aapl",2019-01-21,155.564986107004,"inc",NA,NA,NA
"aapl_iteration_12","aapl",2019-01-22,155.793558255459,"inc",153.300003,"dec",0.0162658526201
"aapl_iteration_12","aapl",2019-01-23,155.834154715996,"inc",153.919998,"dec",0.0124360495118784
"aapl_iteration_13","aapl",2019-01-18,155.707195581934,"dec",156.820007,"inc",0.00709610616243629
"aapl_iteration_13","aapl",2019-01-21,156.265735477238,"inc",NA,NA,NA
"aapl_iteration_13","aapl",2019-01-22,156.186347924432,"inc",153.300003,"dec",0.0188280813303808
"aapl_iteration_13","aapl",2019-01-23,156.509819307765,"inc",153.919998,"dec",0.0168257623532778
"aapl_iteration_13","aapl",2019-01-24,156.481625893502,"inc",152.699997,"dec",0.0247650881977578
"aapl_iteration_14","aapl",2019-01-18,155.906758308042,"inc",156.820007,"inc",0.00582354706793476
"aapl_iteration_14","aapl",2019-01-21,156.270411889741,"inc",NA,NA,NA
"aapl_iteration_14","aapl",2019-01-22,156.431996442329,"inc",153.300003,"dec",0.020430485199203
"aapl_iteration_14","aapl",2019-01-23,156.730552251897,"inc",153.919998,"dec",0.0182598381523945
"aapl_iteration_14","aapl",2019-01-24,156.778169801337,"inc",152.699997,"dec",0.0267070915616114
"aapl_iteration_15","aapl",2019-01-21,157.174741842574,"inc",NA,NA,NA
"aapl_iteration_15","aapl",2019-01-22,157.349576097309,"inc",153.300003,"dec",0.0264160014224462
"aapl_iteration_15","aapl",2019-01-23,157.697763726823,"inc",153.919998,"dec",0.0245436965690621
"aapl_iteration_15","aapl",2019-01-24,157.764030294524,"inc",152.699997,"dec",0.0331632835233396
"aapl_iteration_15","aapl",2019-01-25,158.033140384437,"inc",157.759995,"inc",0.00173139828279345
"aapl_iteration_16","aapl",2019-01-23,153.373482534861,"inc",153.919998,"inc",0.00355064625935692
"aapl_iteration_16","aapl",2019-01-24,153.501623552826,"inc",152.699997,"dec",0.00524968283284459
"aapl_iteration_16","aapl",2019-01-25,153.610108536606,"inc",157.759995,"inc",0.026305062087468
"aapl_iteration_16","aapl",2019-01-28,153.859170617697,"inc",156.300003,"inc",0.0156163297213921
"aapl_iteration_16","aapl",2019-01-29,153.940756712053,"inc",154.679993,"inc",0.00477913318722994
"aapl_iteration_17","aapl",2019-01-24,154.038693198942,"inc",152.699997,"dec",0.00876683841023549
"aapl_iteration_17","aapl",2019-01-25,154.111294011283,"inc",157.759995,"inc",0.0231281763714356
"aapl_iteration_17","aapl",2019-01-28,154.356988682445,"inc",156.300003,"inc",0.0124313133733935
"aapl_iteration_17","aapl",2019-01-29,154.489067980523,"inc",154.679993,"inc",0.00123432265397886
"aapl_iteration_17","aapl",2019-01-30,154.71257148065,"inc",165.25,"inc",0.0637665871065045
"aapl_iteration_18","aapl",2019-01-25,152.743988780618,"inc",157.759995,"inc",0.0317951722766101
